frame,queue_length
0,2
5,5
10,5
15,4
20,3
25,1
30,3
35,5
40,5
45,5
50,6
55,5
60,4
65,4
70,5
75,5
80,4
85,3
90,3
95,2
100,2
105,1
110,2
115,1
120,2
125,2
130,3
135,2
140,4
145,3
150,2
155,2
160,4
165,2
170,5
175,3
180,4
185,3
190,3
195,4
200,5
205,4
210,3
215,4
220,4
225,3
230,3
235,4
240,3
245,3
250,7
255,3
260,5
265,2
270,2
275,3
280,5
285,6
290,4
295,5
300,6
305,5
310,1
315,3
320,2
325,3
330,2
335,4
340,4
345,5
350,6
355,4
360,3
365,5
370,7
375,5
380,5
385,5
390,4
395,5
400,5
405,6
410,5
415,7
420,6
425,6
430,6
435,7
440,7
445,6
450,6
455,6
460,6
465,6
470,5
475,4
480,5
485,5
490,4
495,5
500,4
505,6
510,6
515,5
520,5
525,3
530,2
535,2
540,1
545,1
550,1
555,2
560,2
565,3
570,2
575,2
580,2
585,2
590,2
595,2
600,2
605,2
610,3
615,2
620,2
625,4
630,2
